"","id","film","revenue","budget","language","popularity","runtime","vote.average","vote.count","tagline","release.date","genres","certification","gender","actor.name"
"1",10112,"The Aristocats",55675257,4000000,"en",16.669,78,7.3,3180,"A tune-filled animated extravaganza.","1970-12-23","[12, 16, 35, 10751]","G",2,"Sterling Holloway"
"2",11202,"Patton",89800000,12000000,"en",9.648,172,7.5,588,"The Rebel Warrior","1970-01-25","[18, 36, 10752]","PG",2,"Karl Malden"
"3",11589,"Kelly's Heroes",5200000,4000000,"en",8.608,144,7.4,346,"They set out to rob a bank... and damn near won a war instead!","1970-06-22","[12, 35, 10752]","PG",2,"Telly Savalas"
"4",651,"M*A*S*H",81600000,3500000,"en",8.736,116,7.1,488,"M*A*S*H Gives A D*A*M*N.","1970-01-24","[35, 18, 10752]","R",2,"Elliott Gould"
"5",1685,"Beneath the Planet of the Apes",18999718,3000000,"en",8.029,95,6.2,647,"Now civilization's final battle between man and ape is about to begin.","1970-05-01","[12, 878, 9648]","G",1,"Kim Hunter"
"6",8416,"The Conformist",0,750000,"it",6.126,108,7.8,301,"A dazzling movie","1970-10-21","[18]","R",1,"Stefania Sandrelli"
"7",26617,"Five Easy Pieces",18099091,0,"en",8.867,98,7.3,230,"He rode the fast lane on the road to nowhere.","1970-09-12","[18]","R",1,"Susan Anspach"
"8",11040,"Little Big Man",31559552,15000000,"en",5.943,139,7.7,280,"Either the most neglected hero in history or a liar of insane proportion!","1970-12-14","[12, 35, 18, 37]","PG-13",1,"Faye Dunaway"
"9",9062,"Love Story",136400000,2200000,"en",7.908,99,6.7,322,"Love means never having to say you're sorry","1970-12-16","[18, 10749]","PG",2,"Ryan O'Neal"
"10",9394,"They Call Me Trinity",0,0,"it",10.699,106,7.6,673,"Look out! Here comes Trinity...","1970-12-22","[28, 35, 37]","G",2,"Bud Spencer"
"11",11916,"Two Mules for Sister Sara",5050000,0,"en",8.515,114,7,275,"CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!","1970-06-14","[37]","PG",2,"Clint Eastwood"
"12",10671,"Airport",100489151,10000000,"en",7.008,137,6.5,170,"The #1 novel of the year - now a motion picture!","1970-03-05","[28, 18, 53]","G",2,"Dean Martin"
"13",38765,"Chisum",0,6000000,"en",5.643,111,6.8,86,"THE LEGEND - John Wayne is 'Chisum'","1970-07-23","[37]","G",2,"Forrest Tucker"
"14",4255,"The Party at Kitty and Stud's",0,5000,"en",6.188,71,2.9,35,"","1970-02-10","[35, 18]","",1,"Henrietta Holm"
"15",26593,"Rio Lobo",0,0,"en",5.831,114,6.3,101,"Give 'Em Hell, John.","1970-04-01","[37]","G",2,"Jorge Rivero"
"16",26451,"Investigation of a Citizen Above Suspicion",0,0,"it",7.671,115,8.3,303,"When you're a big man in the big city, can you get away with murder?","1970-11-13","[80, 18]","",1,"Florinda Bolkan"
"17",11165,"Tora! Tora! Tora!",29548291,25485000,"en",6.885,144,7.1,252,"The incredible attack on Pearl Harbor.","1970-01-26","[18, 36, 10752]","G",2,"Sô Yamamura"
"18",10364,"Catch-22",24911670,18000000,"en",6.2,121,6.9,147,"","1970-06-24","[35, 18, 10752]","R",2,"Martin Balsam"
"19",13041,"El Topo",0,400000,"es",6.132,125,7.3,276,"The Definitive Cult Spaghetti Western","1970-12-18","[28, 12, 18, 37]","NR",2,"Brontis Jodorowsky"
"20",46315,"Valerie and Her Week of Wonders",0,0,"cs",7.505,73,6.9,107,"","1970-10-10","[14, 12, 18]","",0,"Helena Anýzová"
"21",11657,"Le Cercle Rouge",0,0,"fr",5.918,140,7.7,279,"No place to hide . . . nowhere to run . . .","1970-10-19","[18, 53, 80]","",2,"Bourvil"
"22",5590,"Donkey Skin",0,0,"fr",6.416,90,7.3,219,"","1970-12-20","[35, 18, 14, 10402, 10749]","",2,"Jacques Perrin"
"23",14384,"Soldier Blue",0,0,"en",5.597,112,7.3,85,"The most savage film in history!","1970-08-12","[37, 28, 18]","R",2,"Peter Strauss"
"24",20345,"The Bird with the Crystal Plumage",0,500000,"it",7.418,96,7.2,307,"A stunning portrait in psycho-terror!","1970-02-27","[27, 9648, 53]","R",1,"Suzy Kendall"
"25",14676,"A Man Called Horse",0,0,"en",5.883,114,6.4,92,"A man called","1970-05-01","[28, 12, 18, 37]","R",1,"Judith Anderson"
"26",5227,"Hercules in New York",0,0,"en",6.322,91,3.8,124,"","1970-02-23","[28, 12, 35, 14, 878]","G",NA,NA
"27",35838,"Tristana",0,0,"es",5.959,95,7.4,102,"Somewhere between the innocent girl and the not so innocent mistress is the bizarre, sensuous story of Tristana","1970-03-29","[18]","",2,"Fernando Rey"
"28",2998,"Zabriskie Point",1e+06,7000000,"en",6.8,113,7.2,204,"How you get there depends on where you're at.","1970-02-09","[18, 10749]","R",1,"Daria Halprin"
"29",2860,"Claire's Knee",0,0,"fr",5.467,105,7.4,90,"","1970-12-11","[18, 10749]","R",0,"Aurora Cornu"
"30",9459,"Woodstock",34505110,600000,"en",7.419,225,7.5,136,"3 days of peace, music...and love.","1970-03-26","[99, 36, 10402]","R",1,"Joan Baez"
"31",5185,"The Private Life of Sherlock Holmes",1500000,10000000,"en",5.439,125,7,135,"The Private Life of Sherlock Holmes. Anything But Elementary.","1970-10-29","[12, 35, 80, 9648, 53, 10749]","PG-13",2,"Colin Blakely"
"32",5722,"Beyond the Valley of the Dolls",4e+07,2090000,"en",6.483,109,6.5,101,"This Is Not A Sequel. There Has Never Been Anything Like It!","1970-07-17","[35, 18, 53]","",0,"Cynthia Myers"
"33",132,"Gimme Shelter",252570,0,"en",5.677,90,7.6,72,"The music that thrilled the world ... and the killing that stunned it!","1970-12-06","[99, 10402]","",2,"Keith Richards"
"34",31952,"The Vampire Lovers",0,0,"en",5.591,91,6.5,70,"An erotic nightmare of tormented lusts that throb in headless, undead bodies!","1970-10-04","[27]","R",2,"Peter Cushing"
"35",13384,"Kes",0,0,"en",5.362,110,7.5,197,"They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.","1970-04-03","[18]","R",2,"Freddie Fletcher"
"36",25251,"Borsalino",0,0,"fr",4.912,126,7,95,"","1970-05-19","[80, 18]","",2,"Alain Delon"
