"","name","year","gender","n"
"1","Action","1970",1,2
"2","Action","1970",2,3
"3","Action","1970",NA,1
"4","Action","1971",1,4
"5","Action","1971",2,5
"6","Action","1972",1,2
"7","Action","1972",2,5
"8","Action","1973",1,3
"9","Action","1973",2,4
"10","Action","1974",1,6
"11","Action","1974",2,6
"12","Action","1975",1,2
"13","Action","1975",2,5
"14","Action","1976",1,6
"15","Action","1976",2,4
"16","Action","1977",1,4
"17","Action","1977",2,3
"18","Action","1978",1,4
"19","Action","1978",2,9
"20","Action","1979",1,3
"21","Action","1979",2,3
"22","Action","1980",0,1
"23","Action","1980",1,2
"24","Action","1980",2,5
"25","Action","1981",1,2
"26","Action","1981",2,5
"27","Action","1982",1,1
"28","Action","1982",2,4
"29","Action","1983",1,2
"30","Action","1983",2,5
"31","Action","1984",1,3
"32","Action","1984",2,7
"33","Action","1985",1,5
"34","Action","1985",2,5
"35","Action","1986",1,6
"36","Action","1986",2,6
"37","Action","1987",1,3
"38","Action","1987",2,7
"39","Action","1987",NA,1
"40","Action","1988",1,3
"41","Action","1988",2,7
"42","Action","1989",1,4
"43","Action","1989",2,5
"44","Action","1990",1,5
"45","Action","1990",2,7
"46","Action","1991",1,3
"47","Action","1991",2,8
"48","Action","1991",NA,1
"49","Action","1992",1,4
"50","Action","1992",2,8
"51","Action","1993",1,5
"52","Action","1993",2,6
"53","Action","1994",1,4
"54","Action","1994",2,6
"55","Action","1995",1,4
"56","Action","1995",2,10
"57","Action","1996",1,1
"58","Action","1996",2,11
"59","Action","1997",1,5
"60","Action","1997",2,8
"61","Action","1998",1,3
"62","Action","1998",2,6
"63","Action","1999",1,3
"64","Action","1999",2,5
"65","Action","2000",1,6
"66","Action","2000",2,8
"67","Action","2001",1,2
"68","Action","2001",2,10
"69","Action","2001",NA,1
"70","Action","2002",1,7
"71","Action","2002",2,8
"72","Action","2003",1,6
"73","Action","2003",2,8
"74","Action","2004",1,7
"75","Action","2004",2,6
"76","Action","2005",1,6
