"","id","film","popularity","vote.average","vote.count","release.date","gender","year","gen1","genreF","pop1","name"
"1",10112,"The Aristocats",16.669,7.3,3180,"1970-12-23",2,"1970","gm2","12",2.81355070696095,"Adventure"
"2",11202,"Patton",9.648,7.5,588,"1970-01-25",2,"1970","gm2","18",2.26675063998483,"Drama"
"3",11589,"Kelly's Heroes",8.608,7.4,346,"1970-06-22",2,"1970","gm2","12",2.15269200341943,"Adventure"
"4",651,"M*A*S*H",8.736,7.1,488,"1970-01-24",2,"1970","gm2","35",2.16745241900255,"Comedy"
"5",1685,"Beneath the Planet of the Apes",8.029,6.2,647,"1970-05-01",1,"1970","gm2","12",2.08305998720255,"Adventure"
"6",8416,"The Conformist",6.126,7.8,301,"1970-10-21",1,"1970","gm2","18",1.81254200841058,"Drama"
"7",26617,"Five Easy Pieces",8.867,7.3,230,"1970-09-12",1,"1970","gm2","18",2.18233652039787,"Drama"
"8",11040,"Little Big Man",5.943,7.7,280,"1970-12-14",1,"1970","gm2","12",1.78221405638452,"Adventure"
"9",9062,"Love Story",7.908,6.7,322,"1970-12-16",2,"1970","gm2","18",2.06787490530837,"Drama"
"10",9394,"They Call Me Trinity",10.699,7.6,673,"1970-12-22",2,"1970","gm2","28",2.37015027915647,"Action"
"11",11916,"Two Mules for Sister Sara",8.515,7,275,"1970-06-14",2,"1970","gm2","37",2.14182931411465,"Western"
"12",10671,"Airport",7.008,6.5,170,"1970-03-05",2,"1970","gm2","28",1.94705235363409,"Action"
"13",38765,"Chisum",5.643,6.8,86,"1970-07-23",2,"1970","gm2","37",1.730415838987,"Western"
"14",4255,"The Party at Kitty and Stud's",6.188,2.9,35,"1970-02-10",1,"1970","gm2","35",1.82261193271082,"Comedy"
"15",26593,"Rio Lobo",5.831,6.3,101,"1970-04-01",2,"1970","gm2","37",1.76318851224002,"Western"
"16",26451,"Investigation of a Citizen Above Suspicion",7.671,8.3,303,"1970-11-13",1,"1970","gm2","80",2.03744698497716,"Crime"
"17",11165,"Tora! Tora! Tora!",6.885,7.1,252,"1970-01-26",2,"1970","gm2","18",1.92934513218062,"Drama"
"18",10364,"Catch-22",6.2,6.9,147,"1970-06-24",2,"1970","gm2","35",1.82454929205105,"Comedy"
"19",13041,"El Topo",6.132,7.3,276,"1970-12-18",2,"1970","gm2","28",1.81352096100957,"Action"
"20",46315,"Valerie and Her Week of Wonders",7.505,6.9,107,"1970-10-10",0,"1970","gm2","14",2.01556946508543,"Fantasy"
"21",11657,"Le Cercle Rouge",5.918,7.7,279,"1970-10-19",2,"1970","gm2","18",1.77799855397802,"Drama"
"22",5590,"Donkey Skin",6.416,7.3,219,"1970-12-20",2,"1970","gm2","35",1.85879487056421,"Comedy"
"23",14384,"Soldier Blue",5.597,7.3,85,"1970-08-12",2,"1970","gm2","37",1.72223073990922,"Western"
"24",20345,"The Bird with the Crystal Plumage",7.418,7.2,307,"1970-02-27",1,"1970","gm2","27",2.0039094790674,"Horror"
"25",14676,"A Man Called Horse",5.883,6.4,92,"1970-05-01",1,"1970","gm2","28",1.77206683588232,"Action"
"26",5227,"Hercules in New York",6.322,3.8,124,"1970-02-23",NA,"1970","gm2","28",1.84403561379343,"Action"
