"","id","actor.name","order","gender","popularity.x","birthday","deathday","birthplace","film","revenue","budget","language","popularity.y","runtime","vote_average","vote_count","director","tagline","genres","certification","month_release","year_release","lustrum","log_popularity","log_revenue","genre6","genre7","genre1","genre2","genre3","genre4","genre5","totxmovie","tot_perso","perc","pass","tot1","gen1","value"
"1","839","Dennis Weaver",0,2,3.463,"1924-06-04","2006-02-24","Joplin, Missouri, USA","Duel",NA,"450000","en","7.646","90","7.4","902","Steven Spielberg","The most bizarre murder weapon ever used!","[28, 53, 10770]","PG","December","1971","1970-1975","2.034182635","#<U+FFFD>NOMBRE?","","","Action","Thriller","TV Movie","","",7,11,0.636363636363636,"Female",0,"gen1",0
"2","839","Dennis Weaver",0,2,3.463,"1924-06-04","2006-02-24","Joplin, Missouri, USA","Duel",NA,"450000","en","7.646","90","7.4","902","Steven Spielberg","The most bizarre murder weapon ever used!","[28, 53, 10770]","PG","December","1971","1970-1975","2.034182635","#<U+FFFD>NOMBRE?","","","Action","Thriller","TV Movie","","",7,11,0.636363636363636,"Male",1,"gen2",2
"3","11302","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Bananas","11833696","2e+06","en","5.112","82","6.7","377","Woody Allen","","[35]","PG-13","April","1971","1970-1975","1.631590717","16.28646161","","","Comedy","","","","",9,12,0.75,"Female",0,"gen1",0
"4","11302","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Bananas","11833696","2e+06","en","5.112","82","6.7","377","Woody Allen","","[35]","PG-13","April","1971","1970-1975","1.631590717","16.28646161","","","Comedy","","","","",9,12,0.75,"Male",1,"gen2",2
"5","15393","Clint Eastwood",0,2,8.016,"1930-05-31","","San Francisco, California, USA","Play Misty for Me","10600000","725000","en","7.534","102","6.7","187","Clint Eastwood","The scream you hear may be your own!","[80, 18, 10749, 53]","R","November","1971","1970-1975","2.019426109","16.17636456","","","Crime","Drama","Romance","Thriller","",4,9,0.444444444444444,"Female",0,"gen1",0
"6","15393","Clint Eastwood",0,2,8.016,"1930-05-31","","San Francisco, California, USA","Play Misty for Me","10600000","725000","en","7.534","102","6.7","187","Clint Eastwood","The scream you hear may be your own!","[80, 18, 10749, 53]","R","November","1971","1970-1975","2.019426109","16.17636456","","","Crime","Drama","Romance","Thriller","",4,9,0.444444444444444,"Male",1,"gen2",2
"7","238","Marlon Brando",0,2,3.447,"1924-04-03","2004-07-01","Omaha, Nebraska, USA","The Godfather","245066411","6e+06","en","24.264","175","8.7","11521","Francis Ford Coppola","An offer you can't refuse.","[80, 18]","R","March","1972","1970-1975","3.18899377","19.3170398","","","Crime","Drama","","","",40,47,0.851063829787234,"Female",0,"gen1",0
"8","238","Marlon Brando",0,2,3.447,"1924-04-03","2004-07-01","Omaha, Nebraska, USA","The Godfather","245066411","6e+06","en","24.264","175","8.7","11521","Francis Ford Coppola","An offer you can't refuse.","[80, 18]","R","March","1972","1970-1975","3.18899377","19.3170398","","","Crime","Drama","","","",40,47,0.851063829787234,"Male",1,"gen2",2
"9","15516","Sandra Peabody",0,1,0.616,"1948-01-11",""," Portland, Oregon, USA","The Last House on the Left",NA,"90000","en","7.654","84","6.1","307","Wes Craven","It rests on 13 acres of earth over the very center of hell...!","[27, 53]","R","August","1972","1970-1975","2.035228387","#<U+FFFD>NOMBRE?","","","Horror","Thriller","","","",5,15,0.333333333333333,"Male",1,"gen1",1
"10","15516","Sandra Peabody",0,1,0.616,"1948-01-11",""," Portland, Oregon, USA","The Last House on the Left",NA,"90000","en","7.654","84","6.1","307","Wes Craven","It rests on 13 acres of earth over the very center of hell...!","[27, 53]","R","August","1972","1970-1975","2.035228387","#<U+FFFD>NOMBRE?","","","Horror","Thriller","","","",5,15,0.333333333333333,"Female",0,"gen2",0
"11","11624","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Everything You Always Wanted to Know About Sex *But Were Afraid to Ask","18016290","2e+06","en","7.497","88","6.6","505","Woody Allen","You haven't seen anything until you've seen everything","[35]","R","August","1972","1970-1975","2.014502941","16.70678691","","","Comedy","","","","",17,19,0.894736842105263,"Female",0,"gen1",0
"12","11624","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Everything You Always Wanted to Know About Sex *But Were Afraid to Ask","18016290","2e+06","en","7.497","88","6.6","505","Woody Allen","You haven't seen anything until you've seen everything","[35]","R","August","1972","1970-1975","2.014502941","16.70678691","","","Comedy","","","","",17,19,0.894736842105263,"Male",2,"gen2",2
"13","22784","Barbara Hershey",0,1,2.207,"1948-02-05","","Hollywood, California, USA","Boxcar Bertha",NA,"6e+05","en","5.635","88","6.1","90","Martin Scorsese","Life made her an outcast. Love made her an outlaw.","[80, 18, 53, 10749]","R","June","1972","1970-1975","1.728997147","#<U+FFFD>NOMBRE?","","","Crime","Drama","Thriller","Romance","",1,8,0.125,"Male",1,"gen1",1
"14","22784","Barbara Hershey",0,1,2.207,"1948-02-05","","Hollywood, California, USA","Boxcar Bertha",NA,"6e+05","en","5.635","88","6.1","90","Martin Scorsese","Life made her an outcast. Love made her an outlaw.","[80, 18, 53, 10749]","R","June","1972","1970-1975","1.728997147","#<U+FFFD>NOMBRE?","","","Crime","Drama","Thriller","Romance","",1,8,0.125,"Female",0,"gen2",0
"15","203","Harvey Keitel",0,2,5.406,"1939-05-13","","Brooklyn, New York, USA","Mean Streets","3e+06","5e+05","en","7.101","110","7.2","1051","Martin Scorsese","You don't make up for your sins in church. You do it in the streets...","[80, 18]","R","October","1973","1970-1975","1.960235619","14.91412285","","","Crime","Drama","","","",11,13,0.846153846153846,"Female",0,"gen1",0
"16","203","Harvey Keitel",0,2,5.406,"1939-05-13","","Brooklyn, New York, USA","Mean Streets","3e+06","5e+05","en","7.101","110","7.2","1051","Martin Scorsese","You don't make up for your sins in church. You do it in the streets...","[80, 18]","R","October","1973","1970-1975","1.960235619","14.91412285","","","Crime","Drama","","","",11,13,0.846153846153846,"Male",2,"gen2",2
"17","11901","Clint Eastwood",0,2,8.016,"1930-05-31","","San Francisco, California, USA","High Plains Drifter","15700000","5500000","en","9.599","105","7.5","539","Clint Eastwood","Welcome to Hell","[37]","R","April","1973","1970-1975","2.261658926","16.56917127","","","Western","","","","",16,19,0.842105263157895,"Female",0,"gen1",0
"18","11901","Clint Eastwood",0,2,8.016,"1930-05-31","","San Francisco, California, USA","High Plains Drifter","15700000","5500000","en","9.599","105","7.5","539","Clint Eastwood","Welcome to Hell","[37]","R","April","1973","1970-1975","2.261658926","16.56917127","","","Western","","","","",16,19,0.842105263157895,"Male",2,"gen2",2
"19","11561","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Sleeper","18344729","2e+06","en","5.223","87","7.1","438","Woody Allen","Woody Allen takes a nostalgic look at the future.","[35, 878, 10749]","PG","December","1973","1970-1975","1.653071949","16.72485284","","","Comedy","Science Fiction","Romance","","",8,12,0.666666666666667,"Female",0,"gen1",0
"20","11561","Woody Allen",0,2,4.122,"1935-12-01","","The Bronx, New York City, New York, USA","Sleeper","18344729","2e+06","en","5.223","87","7.1","438","Woody Allen","Woody Allen takes a nostalgic look at the future.","[35, 878, 10749]","PG","December","1973","1970-1975","1.653071949","16.72485284","","","Comedy","Science Fiction","Romance","","",8,12,0.666666666666667,"Male",3,"gen2",2
"21","240","Al Pacino",0,2,6.429,"1940-04-25","","New York City, New York, USA","The Godfather: Part II","102600000","1.3e+07","en","17.026","202","8.5","6773","Francis Ford Coppola","I don't feel I have to wipe everybody out, Tom. Just my enemies.","[80, 18]","R","December","1974","1970-1975","2.834741587","18.44634849","","","Crime","Drama","","","",52,69,0.753623188405797,"Female",0,"gen1",0
"22","240","Al Pacino",0,2,6.429,"1940-04-25","","New York City, New York, USA","The Godfather: Part II","102600000","1.3e+07","en","17.026","202","8.5","6773","Francis Ford Coppola","I don't feel I have to wipe everybody out, Tom. Just my enemies.","[80, 18]","R","December","1974","1970-1975","2.834741587","18.44634849","","","Crime","Drama","","","",52,69,0.753623188405797,"Male",2,"gen2",2
