"","film","revenue","adult","budget","language","popularity","runtime","vote.average","vote.count","id","tagline","release.date","genres"
"1","The Aristocats",55675257,"False",4000000,"en",13.901,78,"7.3",3164,10112,"A tune-filled animated extravaganza.","23/12/1970","[12, 16, 35, 10751]"
"2","The Party at Kitty and Stud's",0,"False",5000,"en",8.94,71,"2.9",35,4255,"","10/02/1970","[35, 18]"
"3","They Call Me Trinity",0,"False",0,"it",9.378,106,"7.6",671,9394,"Look out! Here comes Trinity...","22/12/1970","[28, 35, 37]"
"4","Kelly's Heroes",5200000,"False",4000000,"en",12.342,144,"7.4",345,11589,"They set out to rob a bank... and damn near won a war instead!","22/06/1970","[12, 35, 10752]"
"5","Patton",89800000,"False",12000000,"en",13.077,172,"7.5",585,11202,"The Rebel Warrior","25/01/1970","[18, 36, 10752]"
"6","Two Mules for Sister Sara",5050000,"False",0,"en",9.132,114,"7",275,11916,"CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!","14/06/1970","[37]"
"7","Beneath the Planet of the Apes",18999718,"False",3000000,"en",11.623,95,"6.2",646,1685,"Now civilization's final battle between man and ape is about to begin.","01/05/1970","[12, 878, 9648]"
"8","Little Big Man",31559552,"False",15000000,"en",9.615,139,"7.7",275,11040,"Either the most neglected hero in history or a liar of insane proportion!","14/12/1970","[12, 35, 18, 37]"
"9","M*A*S*H",81600000,"False",3500000,"en",11.8,116,"7.1",486,651,"M*A*S*H Gives A D*A*M*N.","24/01/1970","[35, 18, 10752]"
"10","Catch-22",24911670,"False",18000000,"en",7.771,121,"6.9",147,10364,"","24/06/1970","[35, 18, 10752]"
"11","Investigation of a Citizen Above Suspicion",0,"False",0,"it",8.239,115,"8.3",300,26451,"When you're a big man in the big city, can you get away with murder?","13/11/1970","[80, 18]"
"12","Chisum",0,"False",6000000,"en",9.036,111,"6.8",86,38765,"THE LEGEND - John Wayne is 'Chisum'","23/07/1970","[37]"
"13","Love Story",136400000,"False",2200000,"en",9.594,99,"6.7",318,9062,"Love means never having to say you're sorry","16/12/1970","[18, 10749]"
"14","El Topo",0,"False",400000,"es",7.605,125,"7.3",276,13041,"The Definitive Cult Spaghetti Western","18/12/1970","[28, 12, 18, 37]"
"15","The Conformist",0,"False",750000,"it",10.006,108,"7.8",298,8416,"A dazzling movie","21/10/1970","[18]"
"16","Valerie and Her Week of Wonders",0,"False",0,"cs",7.572,73,"6.9",106,46315,"","10/10/1970","[14, 12, 18]"
"17","Airport",100489151,"False",10000000,"en",9.058,137,"6.5",169,10671,"The #1 novel of the year - now a motion picture!","05/03/1970","[28, 18, 53]"
"18","Le Cercle Rouge",0,"False",0,"fr",7.307,140,"7.7",277,11657,"No place to hide . . . nowhere to run . . .","19/10/1970","[18, 53, 80]"
"19","Five Easy Pieces",18099091,"False",0,"en",9.701,98,"7.3",228,26617,"He rode the fast lane on the road to nowhere.","12/09/1970","[18]"
"20","Tora! Tora! Tora!",29548291,"False",25485000,"en",8.226,144,"7.1",251,11165,"The incredible attack on Pearl Harbor.","26/01/1970","[18, 36, 10752]"
"21","Woodstock",34505110,"False",600000,"en",6.523,225,"7.5",135,9459,"3 days of peace, music...and love.","26/03/1970","[99, 36, 10402]"
"22","The Wild Child",0,"False",0,"fr",5.51,83,"7.1",151,1627,"At last an adult film to which you can take your children","26/02/1970","[18]"
"23","The Private Life of Sherlock Holmes",1500000,"False",10000000,"en",6.509,125,"7",135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.","29/10/1970","[12, 35, 80, 9648, 53, 10749]"
"24","Kes",0,"False",0,"en",6.208,110,"7.5",196,13384,"They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.","03/04/1970","[18]"
"25","Hercules in New York",0,"False",0,"en",7.005,91,"3.8",124,5227,"","23/02/1970","[28, 12, 35, 14, 878]"
"26","Taste the Blood of Dracula",0,"False",0,"en",6.051,95,"6.1",69,29748,"DRINK A PINT OF BLOOD A DAY","07/05/1970","[27]"
"27","The Bird with the Crystal Plumage",0,"False",500000,"it",7.174,96,"7.2",303,20345,"A stunning portrait in psycho-terror!","27/02/1970","[27, 9648, 53]"
"28","Le Boucher",0,"False",0,"fr",5.321,90,"7",95,2912,"","27/02/1970","[18, 53]"
"29","Gimme Shelter",252570,"False",0,"en",6.373,90,"7.6",72,132,"The music that thrilled the world ... and the killing that stunned it!","06/12/1970","[99, 10402]"
"30","Zabriskie Point",1e+06,"False",7000000,"en",6.704,113,"7.2",202,2998,"How you get there depends on where you're at.","09/02/1970","[18, 10749]"
"31","Soldier Blue",0,"False",0,"en",7.223,112,"7.3",85,14384,"The most savage film in history!","12/08/1970","[37, 28, 18]"
"32","Waterloo",3052000,"False",25000000,"en",5.328,128,"7.2",72,33157,"","26/10/1970","[28, 18, 36]"
"33","The Ballad of Cable Hogue",5e+06,"False",3716946,"en",5.954,121,"7.1",93,23330,"Cable Hogue says … “Do unto others … as you would have others do unto you.”","13/05/1970","[28, 35, 37]"
"34","Rio Lobo",0,"False",0,"en",8.411,114,"6.3",101,26593,"Give 'Em Hell, John.","01/04/1970","[37]"
